"id","name"
"__sample__.project_partner_profession_analysis","Analysis"
"__sample__.project_partner_profession_app_development","App Development"
"__sample__.project_partner_profession_augmented_reality","Augmented Reality"
"__sample__.project_partner_profession_branding","Branding"
"__sample__.project_partner_profession_budgeting_finance","Budgeting & Finance"
"__sample__.project_partner_profession_business_planning","Business Planning"
"__sample__.project_partner_profession_creative_thinking","Creative Thinking"
"__sample__.project_partner_profession_consulting","Consulting"
"__sample__.project_partner_profession_design_thinking","Design Thinking"
"__sample__.project_partner_profession_event_management","Event Management"
"__sample__.project_partner_profession_innovation_design","Innovation Design"
"__sample__.project_partner_profession_marketing","Marketing"
"__sample__.project_partner_profession_process_management","Process Management"
"__sample__.project_partner_profession_project_management","Project Management"
"__sample__.project_partner_profession_product_development","Product Development"
"__sample__.project_partner_profession_prototyping","Prototyping"
"__sample__.project_partner_profession_risk_management","Risk Management"
"__sample__.project_partner_profession_strategic_planning","Strategic Planning"
"__sample__.project_partner_profession_supervision_of_works","Supervision of works"
"__sample__.project_partner_profession_video_production","Video Production"
"__sample__.project_partner_profession_media_design","Media Design"
"__sample__.project_partner_profession_interior_design","Interior Design"
"__sample__.project_partner_profession_scenography","Scenography"
"__sample__.project_partner_profession_advertising","Advertising"
"__sample__.project_partner_profession_editing","Editing"
"__sample__.project_partner_profession_film","Film"
"__sample__.project_partner_profession_illustration","Illustration"
"__sample__.project_partner_profession_music","Music"
"__sample__.project_partner_profession_photography","Photography"
"__sample__.project_partner_profession_fashion_and_textile_design","Fashion and Textile Design"
"__sample__.project_partner_profession_graphic_design","Graphic Design"
"__sample__.project_partner_profession_industry_and_product_design","Industry and Product Design"
"__sample__.project_partner_profession_ui_ux_design","UI/UX  Design"
"__sample__.project_partner_profession_civil_engineering","Civil Engineering"
"__sample__.project_partner_profession_electrical_engineering","Electrical Engineering"
"__sample__.project_partner_profession_mechanical_engineering","Mechanical Engineering"
"__sample__.project_partner_profession_system_engineering","System Engineering"
"__sample__.project_partner_profession_animation","Animation"
"__sample__.project_partner_profession_database_administration","Database Administration"
"__sample__.project_partner_profession_game_design","Game Design"
"__sample__.project_partner_profession_software_development","Software Development"
"__sample__.project_partner_profession_web_design","Web Design"
"__sample__.project_partner_profession_agile_development","Agile Development"
"__sample__.project_partner_profession_archiving","Archiving"
"__sample__.project_partner_profession_modelling","Modelling"
"__sample__.project_partner_profession_acting","Acting"
"__sample__.project_partner_profession_cad","CAD"
"__sample__.project_partner_profession_campaign_planning","Campaign Planning"
"__sample__.project_partner_profession_cinematography","Cinematography"
"__sample__.project_partner_profession_content_management","Content Management"
"__sample__.project_partner_profession_crafts","Crafts"
"__sample__.project_partner_profession_carpentry","Carpentry"
"__sample__.project_partner_profession_camera_operator","Camera Operator"
"__sample__.project_partner_profession_choreography","Choreography"
"__sample__.project_partner_profession_copywriting","Copywriting"
"__sample__.project_partner_profession_composing","Composing"
"__sample__.project_partner_profession_curating","Curating"
"__sample__.project_partner_profession_data_handling_processing","Data Handling / Processing"
"__sample__.project_partner_profession_exhibition_design","Exhibition Design"
"__sample__.project_partner_profession_furniture_design","Furniture Design"
"__sample__.project_partner_profession_landscape_architecture","Landscape Architecture"
"__sample__.project_partner_profession_lighting_design","Lighting Design"
"__sample__.project_partner_profession_proof_reading","Proof Reading"
"__sample__.project_partner_profession_translation","Translation"
"__sample__.project_partner_profession_urban_design","Urban Design"
"__sample__.project_partner_profession_event_design","Event Design"
"__sample__.project_partner_profession_performing_arts","Performing Arts"
"__sample__.project_partner_profession_post_production","Post-production"
"__sample__.project_partner_profession_print","Print"
"__sample__.project_partner_profession_typography","Typography"
"__sample__.project_partner_profession_visualization","Visualization"
"__sample__.project_partner_profession_virtual_reality","Virtual Reality"
"__sample__.project_partner_profession_sound_design","Sound Design"
"__sample__.project_partner_profession_3d","3D"
"__sample__.project_partner_profession_interaction_design","Interaction Design"
"__sample__.project_partner_profession_content_development","Content Development"
