"id","name"
"__export__.partner_project_expertise_27","Analysis"
"__export__.partner_project_expertise_28","App Development"
"__export__.partner_project_expertise_29","Augmented Reality"
"__export__.partner_project_expertise_30","Branding"
"__export__.partner_project_expertise_31","Budgeting & Finance"
"__export__.partner_project_expertise_32","Business Planning"
"__export__.partner_project_expertise_34","Creative Thinking"
"__export__.partner_project_expertise_35","Consulting"
"__export__.partner_project_expertise_39","Design Thinking"
"__export__.partner_project_expertise_40","Event Management"
"__export__.partner_project_expertise_41","Innovation Design"
"__export__.partner_project_expertise_42","Marketing"
"__export__.partner_project_expertise_43","Process Management"
"__export__.partner_project_expertise_44","Project Management"
"__export__.partner_project_expertise_45","Product Development"
"__export__.partner_project_expertise_46","Prototyping"
"__export__.partner_project_expertise_47","Risk Management"
"__export__.partner_project_expertise_48","Strategic Planning"
"__export__.partner_project_expertise_49","Supervision of works"
"__export__.partner_project_expertise_50","Video Production"
"__export__.partner_project_expertise_51","Media Design"
"__export__.partner_project_expertise_52","Interior Design"
"__export__.partner_project_expertise_53","Scenography"
"__export__.partner_project_expertise_54","Advertising"
"__export__.partner_project_expertise_55","Editing"
"__export__.partner_project_expertise_56","Film"
"__export__.partner_project_expertise_57","Illustration"
"__export__.partner_project_expertise_58","Music"
"__export__.partner_project_expertise_59","Photography"
"__export__.partner_project_expertise_60","Fashion and Textile Design"
"__export__.partner_project_expertise_61","Graphic Design"
"__export__.partner_project_expertise_62","Industry and Product Design"
"__export__.partner_project_expertise_63","UI/UX  Design"
"__export__.partner_project_expertise_64","Civil Engineering"
"__export__.partner_project_expertise_65","Electrical Engineering"
"__export__.partner_project_expertise_66","Mechanical Engineering"
"__export__.partner_project_expertise_67","System Engineering"
"__export__.partner_project_expertise_68","Animation"
"__export__.partner_project_expertise_69","Database Administration"
"__export__.partner_project_expertise_70","Game Design"
"__export__.partner_project_expertise_71","Software Development"
"__export__.partner_project_expertise_72","Web Design"
"__export__.partner_project_expertise_73","Agile Development"
"__export__.partner_project_expertise_74","Archiving"
"__export__.partner_project_expertise_75","Modelling"
"__export__.partner_project_expertise_76","Acting"
"__export__.partner_project_expertise_77","CAD"
"__export__.partner_project_expertise_78","Campaign Planning"
"__export__.partner_project_expertise_79","Cinematography"
"__export__.partner_project_expertise_80","Content Management"
"__export__.partner_project_expertise_81","Crafts"
"__export__.partner_project_expertise_82","Carpentry"
"__export__.partner_project_expertise_83","Camera Operator"
"__export__.partner_project_expertise_84","Choreography"
"__export__.partner_project_expertise_85","Copywriting"
"__export__.partner_project_expertise_86","Composing"
"__export__.partner_project_expertise_87","Curating"
"__export__.partner_project_expertise_88","Data Handling / Processing"
"__export__.partner_project_expertise_89","Exhibition Design"
"__export__.partner_project_expertise_90","Furniture Design"
"__export__.partner_project_expertise_91","Landscape Architecture"
"__export__.partner_project_expertise_92","Lighting Design"
"__export__.partner_project_expertise_93","Proof Reading"
"__export__.partner_project_expertise_94","Translation"
"__export__.partner_project_expertise_95","Urban Design"
"__export__.partner_project_expertise_96","Event Design"
"__export__.partner_project_expertise_97","Performing Arts"
"__export__.partner_project_expertise_98","Post-production"
"__export__.partner_project_expertise_99","Print"
"__export__.partner_project_expertise_100","Typography"
"__export__.partner_project_expertise_101","Visualization"
"__export__.partner_project_expertise_102","Virtual Reality"
"__export__.partner_project_expertise_103","Sound Design"
"__export__.partner_project_expertise_104","3D"
"__export__.partner_project_expertise_105","Interaction Design"
"__export__.partner_project_expertise_106","Content Development"
