id,name
__demo__.proj_expertise_analysis,Analysis
__demo__.proj_expertise_appdevelopment,App Development
__demo__.proj_expertise_augmentedreality,Augmented Reality
__demo__.proj_expertise_branding,Branding
__demo__.proj_expertise_budgeting&finance,Budgeting & Finance
__demo__.proj_expertise_businessplanning,Business Planning
__demo__.proj_expertise_creativethinking,Creative Thinking
__demo__.proj_expertise_consulting,Consulting
__demo__.proj_expertise_designthinking,Design Thinking
__demo__.proj_expertise_eventmanagement,Event Management
__demo__.proj_expertise_innovationdesign,Innovation Design
__demo__.proj_expertise_marketing,Marketing
__demo__.proj_expertise_processmanagement,Process Management
__demo__.proj_expertise_projectmanagement,Project Management
__demo__.proj_expertise_productdevelopment,Product Development
__demo__.proj_expertise_prototyping,Prototyping
__demo__.proj_expertise_riskmanagement,Risk Management
__demo__.proj_expertise_strategicplanning,Strategic Planning
__demo__.proj_expertise_supervisionofworks,Supervision of works
__demo__.proj_expertise_videoproduction,Video Production
__demo__.proj_expertise_mediadesign,Media Design
__demo__.proj_expertise_interiordesign,Interior Design
__demo__.proj_expertise_scenography,Scenography
__demo__.proj_expertise_advertising,Advertising
__demo__.proj_expertise_editing,Editing
__demo__.proj_expertise_film,Film
__demo__.proj_expertise_illustration,Illustration
__demo__.proj_expertise_music,Music
__demo__.proj_expertise_photography,Photography
__demo__.proj_expertise_fashionandtextiledesign,Fashion and Textile Design
__demo__.proj_expertise_graphicdesign,Graphic Design
__demo__.proj_expertise_industryandproductdesign,Industry and Product Design
__demo__.proj_expertise_ui/uxdesign,UI/UX  Design
__demo__.proj_expertise_civilengineering,Civil Engineering
__demo__.proj_expertise_electricalengineering,Electrical Engineering
__demo__.proj_expertise_mechanicalengineering,Mechanical Engineering
__demo__.proj_expertise_systemengineering,System Engineering
__demo__.proj_expertise_animation,Animation
__demo__.proj_expertise_databaseadministration,Database Administration
__demo__.proj_expertise_gamedesign,Game Design
__demo__.proj_expertise_softwaredevelopment,Software Development
__demo__.proj_expertise_webdesign,Web Design
__demo__.proj_expertise_agiledevelopment,Agile Development
__demo__.proj_expertise_archiving,Archiving
__demo__.proj_expertise_modelling,Modelling
__demo__.proj_expertise_acting,Acting
__demo__.proj_expertise_cad,CAD
__demo__.proj_expertise_campaignplanning,Campaign Planning
__demo__.proj_expertise_cinematography,Cinematography
__demo__.proj_expertise_contentmanagement,Content Management
__demo__.proj_expertise_crafts,Crafts
__demo__.proj_expertise_carpentry,Carpentry
__demo__.proj_expertise_cameraoperator,Camera Operator
__demo__.proj_expertise_choreography,Choreography
__demo__.proj_expertise_copywriting,Copywriting
__demo__.proj_expertise_composing,Composing
__demo__.proj_expertise_curating,Curating
__demo__.proj_expertise_datahandling/processing,Data Handling / Processing
__demo__.proj_expertise_exhibitiondesign,Exhibition Design
__demo__.proj_expertise_furnituredesign,Furniture Design
__demo__.proj_expertise_landscapearchitecture,Landscape Architecture
__demo__.proj_expertise_lightingdesign,Lighting Design
__demo__.proj_expertise_proofreading,Proof Reading
__demo__.proj_expertise_translation,Translation
__demo__.proj_expertise_urbandesign,Urban Design
__demo__.proj_expertise_eventdesign,Event Design
__demo__.proj_expertise_performingarts,Performing Arts
__demo__.proj_expertise_post_production,Post-production
__demo__.proj_expertise_print,Print
__demo__.proj_expertise_typography,Typography
__demo__.proj_expertise_visualization,Visualization
__demo__.proj_expertise_virtualreality,Virtual Reality
__demo__.proj_expertise_sounddesign,Sound Design
__demo__.proj_expertise_3d,3D
__demo__.proj_expertise_interactiondesign,Interaction Design
__demo__.proj_expertise_contentdevelopment,Content Development
